FacilityName,Hours,TAT,Footfalls
Bliss Medical Centre Muranga,8am,32.38,26.0
Bliss Medical Centre Muranga,9am,35.61,44.0
Bliss Medical Centre Muranga,10am,46.73,90.0
Bliss Medical Centre Muranga,11am,53.48,99.0
Bliss Medical Centre Muranga,12pm,54.74,120.0
Bliss Medical Centre Muranga,1pm,61.97,96.0
Bliss Medical Centre Muranga,2pm,75.89,96.0
Bliss Medical Centre Muranga,3pm,74.79,96.0
Bliss Medical Centre Muranga,4pm,96.89,110.0
Bliss Medical Centre Muranga,5pm,114.61,153.0
Bliss Medical Centre Muranga,6pm,96.43,104.0
Bliss Medical Centre Muranga,7pm,75.79,85.0
Bliss Medical Centre Muranga,8pm,100.18,80.0
Bliss Medical Centre Muranga,9pm,96.0,28.0
Bliss Medical Centre Muranga,10pm,189.48,25.0
Bliss Medical Centre Muranga,11pm,85.12,8.0
Medicross Medical Centre Juja Mall,12am,0.0,0.0
Medicross Medical Centre Juja Mall,1am,0.0,0.0
Medicross Medical Centre Juja Mall,2am,0.0,0.0
Medicross Medical Centre Juja Mall,3am,0.0,0.0
Medicross Medical Centre Juja Mall,4am,0.0,0.0
Medicross Medical Centre Juja Mall,5am,0.0,0.0
Medicross Medical Centre Juja Mall,6am,0.0,0.0
Medicross Medical Centre Juja Mall,7am,0.0,0.0
Medicross Medical Centre Juja Mall,8am,0.0,0.0
Medicross Medical Centre Juja Mall,9am,22.82,11.0
Medicross Medical Centre Juja Mall,10am,36.49,39.0
Medicross Medical Centre Juja Mall,11am,40.02,43.0
Medicross Medical Centre Juja Mall,12pm,42.47,62.0
Medicross Medical Centre Juja Mall,1pm,53.0,63.0
Medicross Medical Centre Juja Mall,2pm,48.58,48.0
Medicross Medical Centre Juja Mall,3pm,72.02,66.0
Medicross Medical Centre Juja Mall,4pm,50.77,69.0
Medicross Medical Centre Juja Mall,5pm,96.83,77.0
Medicross Medical Centre Juja Mall,6pm,49.58,24.0
Medicross Medical Centre Juja Mall,7pm,0.0,0.0
Medicross Medical Centre Juja Mall,8pm,465.59,17.0
Medicross Medical Centre Juja Mall,9pm,0.0,0.0
Medicross Medical Centre Juja Mall,10pm,0.0,0.0
Medicross Medical Centre Juja Mall,11pm,506.78,9.0
Medicross Medical Centre Meru,12am,0.0,0.0
Medicross Medical Centre Meru,1am,0.0,0.0
Medicross Medical Centre Meru,2am,0.0,0.0
Medicross Medical Centre Meru,3am,0.0,0.0
Medicross Medical Centre Meru,4am,0.0,0.0
Medicross Medical Centre Meru,5am,0.0,0.0
Medicross Medical Centre Meru,6am,0.0,0.0
Medicross Medical Centre Meru,7am,0.0,0.0
Medicross Medical Centre Meru,8am,28.5,6.0
Medicross Medical Centre Meru,9am,34.83,29.0
Medicross Medical Centre Meru,10am,48.58,65.0
Medicross Medical Centre Meru,11am,60.42,72.0
Medicross Medical Centre Meru,12pm,67.86,117.0
Medicross Medical Centre Meru,1pm,76.17,107.0
Medicross Medical Centre Meru,2pm,76.23,92.0
Medicross Medical Centre Meru,3pm,70.31,102.0
Medicross Medical Centre Meru,4pm,70.76,91.0
Medicross Medical Centre Meru,5pm,66.24,86.0
Medicross Medical Centre Meru,6pm,53.62,45.0
Medicross Medical Centre Meru,7pm,47.87,31.0
Medicross Medical Centre Meru,8pm,32.0,1.0
Medicross Medical Centre Meru,9pm,0.0,0.0
Medicross Medical Centre Meru,10pm,0.0,0.0
Medicross Medical Centre Meru,11pm,0.0,0.0
Bliss Medical Centre Nyeri 1 Jenkim Plaza,12am,13.0,2.0
Bliss Medical Centre Nyeri 1 Jenkim Plaza,1am,62.0,1.0
Bliss Medical Centre Nyeri 1 Jenkim Plaza,2am,15.0,1.0
